Project name,Funnel,Project Category,Project Type,Block,Fiscal Terms,CVX Share,Project POS,Delin Count,Well depth,Initial Yield,Ya,Yb,WI,BTU,N2,CO2,Risked Well Count,Meas Gas BTU Reserve (BCF),Mean Condy Reserves (MBBL),Mean Oil Reserves (MBBL),Mean Sol.Gas Reserves (BCF),OPEX,Extra OPEX, Risked WHP Count ,Extra platform costs,Risked Pipeline Count,Extra pipeline costs,Delin Costs,Well Costs,Extra well costs,Risked Rigmove Count,Initial TTP costs,WHP aban. Costs,Well aban. Costs,Slot recovery costs,Drilling days,Rigmove days,Oil IP,Oil Hold Reserves,Oil Decline Rate,Oil AR,Gas BTU IP,Gas Hold Reserves,Gas Decline Rate,Gas BTU AR,Mode 1 flag,Mode 1 Date,Drilling Start Date,Online Date,Project Duration,Depletion Date,Year_DC,Year_WHP,Year_Delin,Total Wells,Total Delin,CH4,Trunkline,Operating Area,Plateau
 KLU-19_RA , AQCPP , G , INFILL , B , PSC , 0.429 , 0.85 , -   ," 8,149 ", 1.67 , 27.39 , 1.00 ," 1,109.91 ", 980.71 , 1.02 , 6.23 , 4 , 14.84 , 0.02 , -   , -   , 4.50 , -   , -   , -   , -   , -   , -   , 4.25 , -   , 1.00 , 0.68 , -   , 4.25 , -   , 21.48 , 7.00 , -   , -   , -   , -   , 19.17 , 4.45 , 0.00165 , 2.08 ,,5/15/2021,8/11/2020,9/1/2020, 21.00 ,6/1/2025,2020,2020,2020, 5.00 , -   , 95.18 , N , KL , 0.30 
 AQU-07 , AQCPP , G , WHP , B52 , PSC , 0.429 , 0.66 , 1.00 ," 10,149 ", 19.19 , 6.38 , 1.00 ," 1,004.26 "," 1,005.68 ", 4.48 , 13.21 , 13 , 54.67 , 0.73 , -   , -   , 4.50 , -   , 0.66 , -   , 0.66 , -   , 3.12 , 13.20 , -   , 1.00 , 2.11 , 1.00 , 13.20 , -   , 112.62 , 7.00 , -   , -   , -   , -   , 61.06 , 16.40 , 0.00142 , 6.64 ,,9/5/2021,7/11/2020,11/1/2020, 113.00 ,5/1/2026,2020,2020,2020, 20.00 , 1.00 , 84.69 , OT , AQ , 0.30 
 AQU-11 , AQCPP , G , WHP , B52 , PSC , 0.429 , 0.78 , 1.00 ," 9,914 ", 18.91 , 5.73 , 1.00 , 996.58 , 999.00 , 4.44 , 13.67 , 16 , 60.63 , 0.81 , -   , -   , 4.50 , -   , 0.78 , -   , 0.78 , -   , 3.12 , 15.60 , -   , 1.00 , 2.50 , 1.00 , 15.60 , -   , 116.50 , 7.00 , -   , -   , -   , -   , 75.70 , 18.77 , 0.00162 , 7.79 ,,12/31/2021,11/4/2020,3/1/2021, 117.00 ,3/1/2026,2020,2020,2020, 20.00 , 1.00 , 84.89 , OT , AQ , 0.31 
 AQU-15_RA , AQCPP , G , INFILL , B52 , PSC , 0.429 , 0.76 , -   ," 8,819 ", 19.19 , 23.04 , 1.00 ," 1,004.26 "," 1,005.68 ", 4.48 , 13.21 , 4 , 15.14 , 0.20 , -   , -   , 4.50 , -   , -   , -   , -   , -   , -   , 3.80 , -   , 1.00 , 0.61 , -   , 3.80 , -   , 21.84 , 7.00 , -   , -   , -   , -   , 17.58 , 4.54 , 0.00148 , 1.91 ,,1/22/2022,7/10/2021,8/1/2021, 22.00 ,9/1/2026,2021,2021,2021, 5.00 , -   , 84.69 , OT , AQ , 0.30 
 KLD-24_RC , AQCPP , G , INFILL , B , PSC , 0.429 , 0.75 , -   ," 8,817 ", 1.75 , 36.55 , 1.00 ," 1,069.16 ", 953.67 , 2.02 , 7.48 , 3 , 10.81 , 0.01 , -   , -   , 4.50 , -   , -   , -   , -   , -   , -   , 3.00 , -   , 1.00 , 0.48 , -   , 3.00 , -   , 17.23 , 7.00 , -   , -   , -   , -   , 13.16 , 3.24 , 0.00155 , 1.43 ,,7/11/2022,8/15/2021,9/1/2021, 17.00 ,7/1/2026,2021,2021,2021, 4.00 , -   , 95.72 , N , KL , 0.30 
 AQU-07_RA , AQCPP , G , INFILL , B52 , PSC , 0.429 , 0.66 , -   ," 10,149 ", 19.19 , 127.62 , 1.00 ," 1,004.26 "," 1,005.68 ", 4.48 , 13.21 , 1 , 2.73 , 0.04 , -   , -   , 4.50 , -   , -   , -   , -   , -   , -   , 0.66 , -   , 1.00 , 0.11 , -   , 0.66 , -   , 5.63 , 7.00 , -   , -   , -   , -   , 3.05 , 0.82 , 0.00142 , 0.33 ,,7/17/2022,8/26/2021,9/1/2021, 6.00 ,1/1/2027,2021,2021,2021, 1.00 , -   , 84.69 , OT , AQ , 0.30 
 AQU-11_RA , AQCPP , G , INFILL , B52 , PSC , 0.429 , 0.78 , -   ," 9,597 ", 19.19 , 16.60 , 1.00 ," 1,004.26 "," 1,005.68 ", 4.48 , 13.21 , 5 , 21.02 , 0.28 , -   , -   , 4.50 , -   , -   , -   , -   , -   , -   , 5.46 , -   , 1.00 , 0.87 , -   , 5.46 , -   , 37.65 , 7.00 , -   , -   , -   , -   , 25.26 , 6.31 , 0.00153 , 2.75 ,,8/24/2022,8/24/2021,10/1/2021, 38.00 ,10/1/2026,2021,2021,2021, 7.00 , -   , 84.69 , OT , AQ , 0.30 
 AQU-15_RB , AQCPP , G , INFILL , B52 , PSC , 0.429 , 0.76 , -   ," 9,610 ", 19.19 , 28.80 , 1.00 ," 1,004.26 "," 1,005.68 ", 4.48 , 13.21 , 3 , 12.11 , 0.16 , -   , -   , 4.50 , -   , -   , -   , -   , -   , -   , 3.04 , -   , 1.00 , 0.49 , -   , 3.04 , -   , 21.03 , 7.00 , -   , -   , -   , -   , 14.06 , 3.63 , 0.00148 , 1.53 ,,9/14/2022,10/11/2021,11/1/2021, 21.00 ,1/1/2027,2021,2021,2021, 4.00 , -   , 84.69 , OT , AQ , 0.30 
 KLD-06 , AQCPP , G , WHP , B , PSC , 0.429 , 0.68 , 1.00 ," 9,440 ", 1.90 , 4.82 , 1.00 ," 1,000.30 ", 903.00 , 2.62 , 11.39 , 14 , 77.44 , 0.11 , -   , -   , 4.50 , -   , 0.68 , -   , 0.68 , -   , 3.12 , 13.60 , -   , 1.00 , 2.18 , 1.00 , 13.60 , -   , 90.22 , 7.00 , -   , -   , -   , -   , 62.58 , 25.25 , 0.00108 , 6.14 ,,12/13/2022,9/2/2021,12/1/2021, 90.00 ,5/1/2029,2021,2021,2021, 20.00 , 1.00 , 95.72 , N , KL , 0.33 
 AQD-06 , AQCPP , G , WHP , B , PSC , 0.429 , 0.78 , 1.00 ," 8,822 ", 1.39 , 4.45 , 1.00 , 954.84 , 880.70 , 2.08 , 13.98 , 16 , 82.21 , 0.09 , -   , -   , 4.50 , -   , 0.78 , -   , 0.78 , -   , 3.12 , 15.60 , -   , 1.00 , 2.50 , 1.00 , 15.60 , -   , 89.71 , 7.00 , -   , -   , -   , -   , 72.88 , 26.81 , 0.00119 , 6.87 ,,3/13/2023,1/1/2022,4/1/2022, 90.00 ,3/1/2029,2022,2022,2022, 20.00 , 1.00 , 96.29 , N , AQ , 0.33 
